#-----------------------------------------------------------------------------
# Date d'extraction : 31/10/2025 - 16h06 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : MAX
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     REF : Référence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;
#-----------------------------------------------------------------------------
5046;44.0423;-0.3063;REF;12.63;20.09;5.67;25.56;2.1;20.1;4;956.24;197.1;266.41;25.27;44.69;3.7;3;81;
5047;44.0447;-0.2066;REF;12.91;20.29;6.01;25.35;2;18.4;6.3;894.89;184.66;243.34;24.15;43.38;3.8;2;84;
5048;44.047;-0.107;REF;12.81;20.15;5.95;25.12;1.9;17.3;6.4;908.24;189.37;246.85;24.61;46.21;3.8;2;78;
5049;44.0491;-0.0073;REF;12.78;20.11;5.93;25.04;1.9;17;6.3;917.65;196.55;246.73;24.61;53.15;3.7;2;79;
5179;44.0854;-1.307;REF;13.63;20.05;7.48;23.87;0.8;8.9;8;892.92;169.34;257.71;24.86;51.76;3.8;2;124;
5180;44.0887;-1.2073;REF;13.54;19.94;7.4;23.74;0.7;8.6;7.7;898.81;170.41;255.09;25.02;51.95;3.8;2;93;
5181;44.0919;-1.1076;REF;12.85;19.99;6.17;25.4;2.2;19.4;3.9;1062.24;198.07;302.88;28.86;49.9;3.8;2;69;
5182;44.095;-1.0079;REF;12.71;19.83;6.06;25.16;2.1;18.4;3.4;1074.28;198.27;305.88;29.51;50.66;3.8;2;66;
5183;44.098;-0.9082;REF;12.66;19.78;6.02;25.08;2.1;18.2;3.3;1078.1;198.99;307.14;29.62;50.79;3.7;2;76;
5184;44.1009;-0.8085;REF;12.65;19.78;6.01;25.07;2;18;3.5;1074.41;198.74;307.39;28.96;49.72;3.7;2;63;
5185;44.1038;-0.7087;REF;12.61;19.72;5.97;24.99;2;17.8;3.2;1072.47;199.18;307.82;29;54.58;3.8;2;60;
5186;44.1065;-0.609;REF;12.62;20.07;5.66;25.53;2.1;19.8;4;952.36;194.19;264.97;25.35;45.36;3.7;3;71;
5187;44.1092;-0.5092;REF;12.59;20.03;5.64;25.47;2;19.4;3.9;953.54;194.47;265.49;25.66;42.99;3.7;3;83;
5188;44.1117;-0.4094;REF;12.54;19.97;5.61;25.38;2;18.9;3.8;957.53;195.08;266.62;25.75;43.12;3.7;3;78;
5189;44.1142;-0.3097;REF;12.54;19.98;5.61;25.39;2;19;3.9;960.74;195.53;267.73;25.69;43.33;3.7;3;69;
5190;44.1166;-0.2099;REF;12.5;19.92;5.58;25.3;1.9;18.8;3.9;970.02;199.4;269.65;26.18;46.34;3.7;3;70;
5191;44.1188;-0.1101;REF;12.78;20.11;5.93;25.06;1.8;17;6.2;908.21;187.29;245.98;25.15;45.21;3.7;2;76;
5192;44.121;-0.0103;REF;12.76;20.09;5.92;25.01;1.9;16.9;6.3;918.85;196.81;247;24.63;53.19;3.7;2;76;
5193;44.1231;0.0895;REF;12.48;19.97;5.53;25.11;1.6;16.3;5.1;828.24;187.56;212.93;22.81;43.68;3.8;3;89;
5323;44.1606;-1.2118;REF;13.49;19.89;7.36;23.66;0.7;8.6;7.2;901.3;170.81;258.94;24.66;51.27;3.7;3;80;
5324;44.1638;-1.112;REF;12.85;20;6.17;25.4;2.2;19.6;3.9;1062.12;200.43;306.24;28.29;56.45;3.7;2;60;
5325;44.1669;-1.0122;REF;12.75;19.89;6.09;25.24;2.2;18.7;3.7;1071.51;200.72;305.63;29.41;51.9;3.8;2;62;
5326;44.1699;-0.9123;REF;12.66;19.78;6.02;25.08;2.1;18.2;3.3;1078.1;198.99;305.88;29.62;50.79;3.7;2;60;
5327;44.1728;-0.8125;REF;12.68;19.81;6.03;25.12;2.1;18.2;3.5;1071.76;198.28;306.14;28.9;49.63;3.8;2;63;
5328;44.1756;-0.7126;REF;12.64;19.77;6;25.06;2.1;18.1;3.3;1073.38;199.56;308.03;28.5;48.73;3.7;2;58;
5329;44.1784;-0.6127;REF;12.55;19.99;5.62;25.41;2.1;19.2;3.9;958.33;196.33;266.48;25.89;43.98;3.7;3;67;
5330;44.181;-0.5128;REF;12.51;19.93;5.58;25.31;2.1;18.6;3.8;965.94;200.28;269.05;25.79;44.73;3.7;3;70;
5331;44.1836;-0.4129;REF;12.49;19.91;5.57;25.28;2.1;18.7;3.8;967.16;200.53;269.57;25.84;44.77;3.7;3;80;
5332;44.1861;-0.313;REF;12.44;19.85;5.54;25.19;1.9;18.1;3.6;972.37;201.7;270.19;26.09;46.32;3.7;3;77;
5333;44.1885;-0.2131;REF;12.39;19.78;5.51;25.08;1.8;17.8;3.9;979.24;201.21;272.1;26.43;46.63;3.7;3;65;
5466;44.2324;-1.2163;REF;13.6;20.02;7.47;23.84;0.7;8.7;7.7;895.76;169.01;257.05;25.04;50.9;3.7;3;101;
5467;44.2356;-1.1164;REF;12.95;20.12;6.25;25.58;2.5;20.5;4.2;1052.76;198.92;303.55;28.04;56.15;3.7;2;70;
5468;44.2387;-1.0164;REF;12.81;19.96;6.14;25.34;2.3;19.3;3.7;1066.52;199.86;304.09;29.29;51.72;3.8;2;60;
5469;44.2418;-0.9164;REF;12.73;19.86;6.07;25.2;2.2;18.6;3.6;1073.54;201.08;306.3;29.46;51.98;3.8;2;70;
5470;44.2447;-0.8165;REF;12.74;19.88;6.08;25.23;2.1;18.6;3.8;1070.84;199.23;304.13;28.85;51.38;3.8;2;70;
5471;44.2475;-0.7165;REF;12.68;19.81;6.04;25.13;2;18.3;3.5;1074.46;203.3;304.9;28.56;52.53;3.7;2;62;
5472;44.2503;-0.6165;REF;12.59;19.71;5.97;24.97;2;17.9;3.3;1082.09;204.62;306.89;28.77;52.78;3.7;2;56;
5473;44.2529;-0.5165;REF;12.61;20.07;5.66;25.53;2.2;19.7;4;956.83;198.56;266.59;25.59;44.45;3.7;3;69;
5474;44.2555;-0.4164;REF;12.55;19.98;5.61;25.4;2;19.3;3.8;963.51;199.99;267.69;25.86;46.05;3.7;3;92;
5476;44.2603;-0.2164;REF;12.51;19.94;5.58;25.33;1.9;18.7;4;970.28;202.07;269.27;25.51;48.36;3.8;3;66;
5609;44.3043;-1.2209;REF;13.54;19.96;7.41;23.75;0.8;8.6;7.4;894.17;169.68;258.08;24.69;48.92;3.8;2;105;
5610;44.3075;-1.1208;REF;13.51;19.92;7.38;23.7;0.8;8.5;7.3;900.13;173.27;262.17;24.8;49.11;3.8;2;81;
5611;44.3106;-1.0207;REF;12.85;20.01;6.17;25.42;2.4;19.6;3.9;1061.83;202.99;309.66;28.78;55.07;3.7;2;65;
5612;44.3136;-0.9206;REF;12.77;19.92;6.11;25.29;2.1;19.1;3.8;1067.33;198.67;304.24;28.49;53.6;3.8;3;72;
5613;44.3166;-0.8205;REF;12.78;19.93;6.11;25.3;2.2;19.2;3.9;1066.85;198.58;304.09;28.47;53.58;3.8;2;74;
5614;44.3194;-0.7204;REF;12.79;19.94;6.12;25.32;2.1;19.1;3.8;1065.4;201.68;302.1;28.54;52.24;3.7;2;69;
5615;44.3222;-0.6202;REF;12.71;19.84;6.06;25.17;2;18.3;3.6;1072.34;202.94;304.59;28.72;52.47;3.7;2;61;
5616;44.3248;-0.5201;REF;12.66;19.79;6.02;25.09;2;18;3.4;1078.87;207.5;308;29.12;53.33;3.7;2;68;
5752;44.3761;-1.2254;REF;13.55;19.96;7.42;23.76;0.8;8.5;7.4;890.64;166.83;261.51;24.83;45.73;3.7;2;104;
5753;44.3793;-1.1252;REF;13.53;19.94;7.41;23.73;0.8;8.5;7.4;891.84;167.06;261.83;24.87;45.77;3.7;3;74;
5754;44.3825;-1.025;REF;12.86;20.02;6.18;25.43;2.4;19.6;3.9;1061.23;202.9;309.42;28.79;55.05;3.7;2;69;
5755;44.3855;-0.9248;REF;12.82;19.98;6.15;25.37;2.2;19.4;4;1063.29;197.99;304.08;28.86;53.46;3.8;2;84;
5756;44.3884;-0.8245;REF;12.83;19.99;6.16;25.39;2.2;19.5;4;1062.24;197.8;303.76;28.42;53.42;3.8;3;66;
5757;44.3913;-0.7243;REF;12.83;19.99;6.16;25.39;2.3;19.3;3.8;1057.66;197.11;303.31;28.54;52.44;3.7;2;68;
5758;44.394;-0.624;REF;12.76;19.91;6.09;25.26;2.1;18.7;3.8;1066.18;200.61;303.51;28.73;51.73;3.8;2;68;
5895;44.448;-1.23;REF;13.57;19.99;7.44;23.79;0.8;8.6;7.5;889.37;166.61;261.15;24.79;45.7;3.8;3;110;
5896;44.4512;-1.1296;REF;13.56;19.98;7.44;23.78;0.8;8.8;7.5;889.1;166.7;261.26;24.69;45.71;3.7;3;74;
5897;44.4543;-1.0293;REF;12.91;20.08;6.22;25.52;2.4;20.1;4;1049.88;196.71;301.86;28.8;51.23;3.8;2;70;
